RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
24764,Manhattan,2016,11,16,22,0,55,70677,POINT (1000850.336655912 243726.49907098626),AMSTERDAM AVENUE,8 Avenue Line,West 161 Street,SB\
21145,Bronx,2016,2,29,5,45,22,176366,POINT (1015284.5 257012.7),BEDFORD PARK BLVD,GRAND CONCOURSE,GRAND CONCOURSE,NB\
23910,Brooklyn,2016,7,13,2,15,19,26054,POINT (997902.1921978564 151831.0757411193),EMMONS AVENUE,East 16 Street,Sheepshead Bay Road,WB\
26665,Manhattan,2017,10,17,2,0,6,217377,POINT (995193.0944769608 218481.47112342858),EAST 68 STREET,Dead End,2 Avenue,EB\
11481,Brooklyn,2011,5,8,15,30,86,44565,POINT (1004057.4 193486.1),MYRTLE AVE BET EVERGREEN AVE & HART ST,EVERGREEN AV,HART ST,EB\
21164,Brooklyn,2015,11,22,2,15,24,19555,POINT (981178.5316857505 168585.17764715874),FT HAMILTON PARKWAY,67 Street,68 Street,WB\
21818,Queens,2015,10,21,7,0,32,155834,POINT (1015866.7508422872 208256.22579868458),CONNECTOR,Dead End,Hillyer Street,EB\
24575,Bronx,2016,10,14,16,45,129,9003171,POINT (1011525.8912560107 244551.91120436566),3 AVENUE,Dead End,Claremont Parkway,NB\
21639,Manhattan,2015,11,7,6,30,15,33170,POINT (988817.4966030373 208267.32259094538),3 AVENUE,East 23 Street,East 22 Street,SB\
7503,Queens,2009,10,8,20,30,40,152965,POINT (1037866 205919.8),W/B JEWEL AVE (W LWG) @ 164 ST,164 ST,161 ST,WB\
10105,Bronx,2012,10,20,14,15,27,88517,POINT (1027202.4 257342.6),BURKE AV,CORSA AV,EASTCHESTER RD,WB\
29359,Staten Island,2018,10,19,20,30,2,3463,POINT (936530.4175886448 139063.8421197755),POMPEY AVENUE,Memphis Avenue,Lamoka Avenue,SB\
8302,Queens,2012,4,4,17,30,264,152651,POINT (1064282.7 204339.5),JAMAICA AV,LITTLE NECK PKWY,REMSEN LA,WB\
29671,Bronx,2019,1,11,9,45,161,152666,POINT (1007146.4255002245 248734.04441277566),DR M L KING JR BOULEVARD,Dead end,West 176 Street,SB\
27304,Manhattan,2017,11,30,1,0,76,37371,POINT (993436.0066211732 220807.54858531136),5 AVENUE,East 73 Street,East 72 Street,SB\
16533,Brooklyn,2014,1,27,14,45,14,31035,POINT (997812.6 195048.2),LORIMER ST,MARCY AV,UNION AV,EB\
28260,Bronx,2018,6,4,14,30,222,121341,POINT (1010100.1515121465 233286.32393289456),BRUCKNER BOULEVARD,Bruckner Expressway,Bruckner Expressway,NB\
2837,Manhattan,2010,3,16,19,30,99,162684,POINT (986269.2 199334.2),N/B PIKE ST @ EAST BROADWAY,E BROADWAY,HENRY ST,NB\
14806,Manhattan,2013,7,23,7,30,61,37372,POINT (993601.5 220583.3),E 72 ST,5 AV/TER DR,MADISON AV,WB\
9911,Bronx,2011,4,3,5,15,16,175676,POINT (1014504.2 238117.7),HUNTS POINT AVE APPROACH TO BRUCKNER BLVD SB,BRUCKNER EP WB EN SHERIDAN EP,EAST 163 STREET,WB\
23830,Bronx,2016,10,10,11,15,112,116588,POINT (1025476.2261737769 257167.48859297356),EAST GUN HILL ROAD,Pearsall Avenue,Throop Avenue,WB\
23584,Brooklyn,2016,7,6,16,45,123,34967,POINT (995273.6526364502 202215.7415265501),KENT AVENUE,North 9 Street,North 10 Street,NB\
29461,Manhattan,2019,1,13,1,45,82,35945,POINT (992205.6749902394 212318.81155290507),EAST 42 STREET,2 Avenue,Flushing Line,WB\
23797,Queens,2016,6,24,4,0,1,97540,POINT (1044345.5968403277 210392.54489516656),UNDERHILL AVENUE,194 Street,58 Avenue,SB\
27183,Queens,2017,6,15,7,30,129,122257,POINT (1027622.85812409 217255.267310843),WHITESTONE EXPRESSWAY ET 13 SB,Grand Central Py Wb En Van Wyck,Dead end,WB\
17990,Brooklyn,2014,11,1,8,15,58,22345,POINT (985690.9438117855 184576.98923100196),9 STREET,9 Street Bridge,2 Avenue,NB\
21113,Bronx,2016,3,3,21,30,79,79388,POINT (1018409.8814401005 245315.36519139956),EAST TREMONT AVENUE,Devoe Avenue,Bronx Park Avenue,WB\
21099,Bronx,2015,9,15,8,30,46,174289,POINT (1007494.0436651148 243094.0727247189),EAST 167 STREET,Dead End,Dead end,EB\
11066,Brooklyn,2013,6,4,2,30,5,19199,POINT (988864.5 156276.5),86 ST,AV U,W 12 ST,WB\
14494,Queens,2013,6,8,22,15,167,67366,POINT (1002663.9 210685.3),VAN DAM ST,THOMSON AV,QUEENS BLVD,SB\
18483,Manhattan,2014,10,22,12,30,359,33992,POINT (987371.808223624 219401.14410332582),10 AVENUE,West 56 Street,West 57 Street,NB\
10775,Queens,2011,4,10,2,45,81,151440,POINT (1027437.7 186472.5),Cross Bay Blvd SB Between,107th Ave and 108th StAve,SUTTER AV,SB\
17526,Brooklyn,2014,6,24,8,45,226,191436,POINT (1016349.2 180203.4),LINDEN BLVD,SCHENCK AV,HENDRIX ST,EB\
32395,Bronx,2020,9,2,21,30,362,154812,POINT (1035312.0463516485 263218.7724277886),HUTCHINSON RIVER PARKWAY,Dead End,Dead end,SB\
2360,Queens,2009,11,11,14,45,54,54801,POINT (1032748.7 187580.6),W/B 109 AVE @ 115 ST,115 ST,116 ST,WB\
19316,Brooklyn,2015,4,30,15,30,150,105839,POINT (987432.2200590193 184996.64509845988),3 AVENUE,3 Street,Dead end,SB\
25256,Bronx,2017,2,19,12,30,104,85872,POINT (1020580.2052022353 246980.5387825816),MORRIS PARK AVENUE,Unionport Road,Fillmore Street,WB\
18079,Bronx,2014,10,30,2,0,8,95624,POINT (1030961.1398879152 264028.83486400824),DYRE AVENUE,Lustre Street,Dead end,SB\
14806,Manhattan,2013,7,20,21,15,1,115260,POINT (992295.2 221132.2),TER DR,THE MALL,CENTER DR,WB\
25828,Bronx,2017,4,28,11,15,60,219641,POINT (1032342.5493677803 246854.0897001197),BRUCKNER BOULEVARD,Middletown Road,Waterstone Drive,SB\
15809,Staten Island,2013,10,27,11,0,65,4459,POINT (937932.5 142371.8),BARLOW AV,ELTINGVILLE BLVD,GETZ AV,WB\
28591,Bronx,2017,11,19,4,30,130,79770,POINT (1011503.1455043118 253629.07093768363),WEST FORDHAM ROAD,Davidson Avenue,East Fordham Road,EB\
29844,Brooklyn,2019,2,10,14,45,102,161179,POINT (976031.2846005108 173047.14193924927),BELT PARKWAY ENTRANCE SOUTHBOUND,Belt Parkway,Belt Parkway Eb En Ridge Blvd,WB\
19505,Manhattan,2015,3,21,0,30,371,36258,POINT (993674.7353075458 215570.68951150047),2 AVENUE,East 55 Street,East 56 Street,SB\
12159,Brooklyn,2010,12,9,8,15,219,20489,POINT (989660.4 163238.3),BAY PKWY APPROACH TO 63RD ST,64 ST,63 ST,NB\
18613,Queens,2014,10,31,20,15,50,75435,POINT (1010286.1 215133.6),31 AV,55 ST/PEDESTRIAN PATH,56 ST/PEDESTRIAN PATH,WB\
11638,Bronx,2013,3,25,13,0,105,141215,POINT (1017269.5 243468.9),EAST 174 STREET,AMTRAK RR,BODY OF WATER,EB\
7250,Brooklyn,2010,5,23,4,15,180,141027,POINT (1023031 177875),E/B SHORE PKWY(BELT PKWY) @ FOUNTAIN AVE,BOROUGH BOUNDARY,BODY OF WATER,EB\
3478,Manhattan,2008,7,25,0,15,25,23260,POINT (981745.7 199644.3),E/B WARREN ST @ W BROADWAY - CHURCH ST,W BROADWAY,CHURCH ST,EB\
21145,Queens,2016,1,8,18,45,234,76771,POINT (1019183.6745606537 215013.9264454331),NORTHERN BOULEVARD,94 Street,Junction Boulevard,EB\
16875,Bronx,2014,3,22,12,15,113,87518,POINT (1020085.8 254810.5),BRONX PARK E,ALLERTON AV/SOUTHERN BLVD/MOSHOLU PARKWAY GREENWAY,BRITTON ST,SB\
26601,Queens,2017,10,3,2,15,17,128571,POINT (1007003.5739124904 196887.56923630447),CYPRESS AVENUE,Alley,Hart Street,EB\
31027,Bronx,2019,11,10,5,30,22,87447,POINT (1020421.7751496674 250405.4186244488),BRONX PARK EAST,Maran Place,Lydig Avenue,SB\
15789,Brooklyn,2013,10,27,4,30,4,19988,POINT (985526.5 163644.5),72 ST,17 AV,18 AV,WB\
16856,Manhattan,2014,3,23,16,15,515,36142,POINT (992919.2 215671.3),3 AV,E 54 ST,E 55 ST,NB\
23320,Bronx,2016,4,19,20,45,25,113686,POINT (1012452.8682035714 260813.51555854047),FT INDEPENDENCE STREET,Dead End,Orloff Avenue,NB\
26114,Bronx,2017,6,25,8,15,34,79199,POINT (1016728.2195755019 248122.8440104982),BRONX PARK SOUTH,Mohegan Avenue,Crotona Parkway,WB\
26799,Manhattan,2017,5,4,16,30,77,165861,POINT (999355.3363786899 217361.32553894378),ROOSEVELT IS BRIDGE,Qn-ny Cnty Shoreline,Dead end,EB\
19766,Brooklyn,2015,3,13,1,30,4,158064,POINT (993596.3865841912 152434.0495301556),CONNECTOR,Ocean Parkway,Ocean Parkway,NB\
31152,Manhattan,2019,10,16,7,15,131,33291,POINT (989879.3872730608 207907.0258857133),EAST 23 STREET,2 Avenue,1 Avenue,EB\
23870,Queens,2016,11,15,20,30,973,9012152,POINT (1027450.1423747182 206779.9143183056),GRAND CENTRAL PARKWAY,64 Avenue Pedestrian Overpass,Dead end,NB\
20058,Bronx,2015,4,24,3,0,2,79692,POINT (1010936.0887603688 258807.03485555568),ALBANY CRESCENT,Major Deegan Expressway,Bailey Avenue,WB\
14634,Bronx,2013,6,16,12,0,37,88108,POINT (1024197.2 256827.9),LACONIA AV,BURKE AV,BOSTON RD,NB\
29847,Queens,2019,3,7,12,15,27,36588,POINT (997021.8944294285 210666.5569365206),47 ROAD,5 Street,Vernon Boulevard,EB\
8266,Manhattan,2012,6,21,17,30,327,37224,POINT (991236.7 226375.9),AMSTERDAM AV,W 86 ST,W 87 ST,NB\
10525,Bronx,2012,10,26,18,45,269,137132,POINT (1013995.7 237397),BRUCKNER BLVD,BARRETTO ST/BRE WB EN SHE/BRUCKNER EXWY WB EN SHE*,BRUCKNER EXPRESSWAY,EB\
30528,Brooklyn,2019,6,10,13,30,73,22828,POINT (988626.4907382651 189872.32719377681),BOND STREET,Fulton Street Line,State Street,NB\
21901,Brooklyn,2015,10,13,21,45,37,18717,POINT (984572.0950054392 157720.3675386553),BATH AVENUE,21 Avenue,Bay 28 Street,EB\
30525,Brooklyn,2019,6,9,7,45,38,24386,POINT (988634.2184994098 190308.69480537492),LIVINGSTON STREET,Elm Place,Bond Street,EB\
29371,Bronx,2018,11,4,22,45,98,141409,POINT (1020592.6864861402 243843.64338933353),CROSS BRONX EXPWY ET 4 B WB,Dead End,Cross Bronx Expressway Sr North,WB\
25136,Queens,2017,1,23,20,45,19,51389,POINT (1026030.8746255228 181060.19166058392),84 STREET,155 Avenue,Shore Parkway,NB\
3040,Queens,2010,5,1,9,0,64,81612,POINT (1020658.5 207385.1),W/B 57 AVE @ 92 ST,92 ST,94 ST,WB\
9020,Brooklyn,2012,11,12,12,30,10,29081,POINT (991077.6 189235.3),S ELLIOTT PL,HANSON PL,FULTON ST,SB\
28337,Bronx,2018,6,17,5,45,247,9014390,POINT (1016349.2220451952 239050.2379536421),EASTERN BLVD BRIDGE,Bronx River Shoreline,Bronx River Avenue,EB\
15799,Manhattan,2013,11,15,11,30,1,23333,POINT (983081.7 196527.7),JOHN ST,FRONT ST,SOUTH ST,WB\
18120,Brooklyn,2014,9,7,2,0,24,138254,POINT (979524.4249799368 170728.40106368274),GOWANUS EXPRESSWAY EXIT 20 WB,6 Avenue,Dead End,NB\
19569,Queens,2015,2,21,8,0,98,155568,POINT (1021765.8787660722 216601.72164752867),ASTORIA BOULEVARD,104 Street,105 Street,EB\
11188,Manhattan,2012,11,21,14,15,158,24099,POINT (986837.2 196980.2),MANHATTAN BRIDGE,BOROUGH BOUNDARY,BODY OF WATER,EW\
24003,Queens,2016,7,17,3,15,77,111705,POINT (1007145.617961613 220122.23966469575),HOYT AVENUE NORTH,31 Street,29 Street,NB\
15972,Manhattan,2013,10,27,5,15,46,35875,POINT (990439.6 218452.3),CENTRAL PARK S,7 AV/C P 7 AV APPR,CENTER DR/AVE OF THE AMERICAS,EB\
18613,Staten Island,2014,10,22,1,30,17,13496,POINT (959701.9 169053.5),VICTORY BLVD,FOREST AV,LOUIS ST,SB\
22552,Queens,2016,3,18,15,0,216,60361,POINT (1042138.8307751822 195900.42596427497),168 STREET,Lirr Main Line,Douglas Avenue,NB\
27853,Bronx,2018,4,14,1,45,14,193964,POINT (1022622.040070103 251899.13035883888),PELHAM PARKWAY NORTH,Unnamed Street,Bronxwood Avenue,WB\
20968,Manhattan,2015,8,4,21,45,360,37376,POINT (993752.8818981395 220332.06214388838),MADISON AVENUE,East 71 Street,East 72 Street,NB\
26610,Brooklyn,2017,11,18,12,15,910,142959,POINT (1012697.3654965282 161365.60887577615),BELT PARKWAY,Dead End,Dead end,WB\
17271,Staten Island,2014,5,14,16,0,12,194760,POINT (941243.4 170651.8),VAN PELT AVENUE,DISTRICT BOUNDARY,LAGUNA LANE,NB\
31026,Manhattan,2019,10,18,5,30,216,32333,POINT (984391.993533461 201682.87041882222),GRAND STREET,Crosby Street,Lafayette Street,EB\
17386,Bronx,2014,6,19,4,30,6,88125,POINT (1024607.7 257529.4),E GUN HILL RD,YATES AV,BOSTON RD,WB\
9936,Queens,2012,7,2,4,45,5,53707,POINT (1035014.9 153671.9),X BAY BR EXIT RP,X BAY BR EN RP,X BAY BR EN RP/BEACH CHANNEL DR/BEACH 92 ST/BIKE *,EB\
18568,Brooklyn,2014,11,11,17,30,43,23869,POINT (985621.6271681845 193193.74337393348),HICKS STREET,Love Lane,Clark Street,NB\
16545,Staten Island,2014,2,9,3,0,7,9885,POINT (941929.3 171350.3),RICHMOND TER,VAN NAME AV,MARINERS LA,WB\
23441,Bronx,2016,5,18,13,15,78,85914,POINT (1020644.5328521115 249526.25029017302),WHITE PLAINS ROAD,Bronx Park East,Unionport Road,SB\
15546,Brooklyn,2013,8,20,18,15,139,43754,POINT (1007325.1 184459.2),SARATOGA AV,PROSPECT PL,ST MARKS AV,SB\
17657,Manhattan,2014,7,13,23,30,35,158830,POINT (996063.7 223378.6),PARK AV,E 86 ST,E 85 ST,NB\
25421,Brooklyn,2017,3,5,8,15,125,157700,POINT (987939.7498578763 192922.99347120785),TILLARY STREET,8 Avenue Line,Bridge Street,WB\
28834,Brooklyn,2018,11,10,8,30,74,46349,POINT (1012086.472131462 170496.7735545233),REMSEN AVENUE,Avenue L,Avenue M,SB\
20328,Manhattan,2015,5,13,0,30,57,37494,POINT (994097.6330097755 227828.0376666762),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,SB\
24634,Brooklyn,2016,10,29,15,0,58,166860,POINT (1002578.6066616139 152169.12689705586),COYLE STREET,Shore Parkway,Emmons Avenue,SB\
32407,Bronx,2020,10,20,11,0,42,78481,POINT (1012874.9888082277 242640.23784343127),PROSPECT AVENUE,Jennings Street,East 170 Street,NB\
17204,Bronx,2014,4,30,17,30,130,79537,POINT (1020024.5 245209.5),E TREMONT AV,VAN NEST AV,E 180 ST,WB\
8957,Bronx,2012,6,13,19,15,3,135125,POINT (1015681.1 270086.4),HENRY HUDSON PKWY,DEAD END,MOSHOLU PKWY,SB\
9353,Bronx,2012,1,30,11,45,85,79382,POINT (1018092.2 245327.2),EAST TREMONT AVENUE,EAST 177 STREET,DEVOE AVENUE,WB\
1796,Queens,2010,10,2,13,0,0,48755,POINT (1011598 196542),E/B MADISON ST @  60 PLACE,FOREST AV,60 PL,EB\
23312,Brooklyn,2016,5,3,14,45,144,269431,POINT (1001964.1255087209 185112.7736722428),TROY AVENUE,Albany Houses Pedestrian Path,Bergen Street,NB\
17348,Queens,2014,6,4,14,30,88,92470,POINT (1033375.5 223912.2),PARSONS BLVD,21 AV,20 AV,NB\
16721,Queens,2014,2,16,5,0,0,76239,POINT (1015880 214549.5),NORTHERN BLVD,81 ST,82 ST,EB\
20699,Manhattan,2015,6,16,5,30,349,36248,POINT (993286.7319191075 214871.7461192431),2 AVENUE,East 52 Street,East 53 Street,SB\
14719,Manhattan,2013,6,24,10,0,76,71088,POINT (1002123.8 247884.4),ST NICHOLAS AV,W 177 ST,W 178 ST,NB\
11750,Queens,2013,6,13,3,45,0,190793,POINT (1000331.6 208690.3),MIDTOWN HWY BR,QN MIDTOWN EXWY,QN MIDTOWN EXWY,EB\
10821,Staten Island,2009,3,28,3,15,34,152149,POINT (961378.5 157272.3),Hylan Blvd NB Between,Norway/Clove Rd and Parkinson Ave,NORWAY AV,NB\
25289,Brooklyn,2017,2,15,8,0,52,42647,POINT (1008079.3324575912 178681.916985978),EAST 98 STREET,Saratoga Avenue,Lott Avenue,SB\
24417,Bronx,2016,10,26,19,30,47,9004559,POINT (1012020.0956801596 259510.37658686237),FT INDEPENDENCE STREET,Heath Avenue,Dead end,SB\
9821,Manhattan,2011,4,16,20,30,460,33915,POINT (987609 212387.7),6TH AVE APPROACH TO 34TH ST,BROADWAY,W 34 ST,NB\
16095,Manhattan,2013,11,19,23,0,19,158725,POINT (998003.8 240509.5),BROADWAY,W 145 ST,W 146 ST,SB\
14312,Brooklyn,2013,5,9,1,45,0,149127,POINT (1023494.3 183495.1),LINDEN BLVD,CONNECTOR,AMBER ST,WB\
16687,Bronx,2014,6,17,16,15,915,135125,POINT (1015681.1 270086.4),HENRY HUDSON PKWY,DEAD END,MOSHOLU PKWY,SB\
12598,Bronx,2013,3,17,2,15,0,70194,POINT (1007161.9 236695.1),3 AV,MELROSE AV/E 149 ST/WILLIS AV,WESTCHESTER AV/E 150 ST,SB\
10854,Brooklyn,2009,12,10,21,0,57,195627,POINT (989233.4 191972.6),Myrtle Ave WB Between,Prince St and Hudson Walk,CENSUS BOUNDARY,WB\
25933,Brooklyn,2016,9,17,10,30,81,162950,POINT (989524.3766967233 190632.1999853517),DEKALB AVENUE,Hudson Avenue,Flatbush Avenue Extension,WB\
9649,Brooklyn,2011,2,16,11,0,49,25055,POINT (990533.8 156343.7),W 6TH ST NB APPROACH TO AVE U,AV U,LAKE PL,NB\
18613,Queens,2014,10,25,0,30,37,91303,POINT (1032300.6 215224.7),SANFORD AV,KISSENA BLVD,UNION ST,WB\
11650,Brooklyn,2013,3,28,20,0,37,66420,POINT (1005624.9 200301.9),GRAND ST BR,GRAND ST,BOROUGH BOUNDARY,EB\
30153,Queens,2019,4,1,6,15,59,149157,POINT (1059709.5440004377 184984.7142866064),MERRICK BOULEVARD,Dead End,Hook Creek Boulevard,EB\
17293,Queens,2014,6,14,4,0,66,68622,POINT (1004703.9 220528.1),21 ST,27 RD,NEWTOWN AV/ASTORIA BLVD/27 AV,NB\
22121,Brooklyn,2015,11,11,20,0,66,24275,POINT (987904.0075783103 194244.61801217566),JAY STREET,Houston/essex Street Line,High Street,SB\
28844,Staten Island,2019,1,21,15,0,103,10335,POINT (950375.6207083194 147398.34593399602),AMBOY ROAD,Dale Avenue,Bishop Street,SB\
30153,Queens,2019,5,9,15,15,329,149701,POINT (997407.0998491726 208620.92612708386),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB\
17954,Queens,2014,6,1,20,45,44,131742,POINT (1035846.5 211251.1),ROSE AV,KISSENA BLVD/KISSENA PARK GREENWAY,ALLEY,WB\
17754,Manhattan,2014,8,13,20,15,74,37274,POINT (991417.5 229149.2),W 96 ST,RIVERSIDE DR/HHP NB EXIT 11/HHP NB EN W 96 ST,WEST END AV,EB\
21220,Staten Island,2015,10,4,11,0,125,112566,POINT (960571.6303623801 166109.4253705609),VAN DUZER STREET,Broad Street,Jake Court,SB\
27304,Manhattan,2017,11,30,15,0,68,227925,POINT (990764.9152855979 222155.04944463962),WEST 72 STREET,Driveway,8 Avenue Line,EB\
11000,Brooklyn,2012,10,24,9,15,199,28360,POINT (995677.8 176382.8),FLATBUSH AV,MARTENSE ST,CHURCH AV,SB\
10560,Queens,2012,10,17,15,15,123,149563,POINT (1057759.1 201255.4),JAMAICA AV,SPRINGFIELD BLVD,220 ST,WB\
2009,Brooklyn,2011,1,5,17,15,14,21931,POINT (983937.9 185983.1),W/B NELSON ST @ HAMILTON AVE,HAMILTON AV,CLINTON ST,WB\
26510,Bronx,2018,4,15,12,0,22,147346,POINT (1015854.3945321952 257864.31674287317),EAST 204 STREET,Grand Concourse,Dead end,EB\
25927,Brooklyn,2017,6,9,6,15,61,148126,POINT (1005884.2868693694 177612.5450861812),KINGS HIGHWAY,East 59 Street,Linden Boulevard,NB\
3178,Staten Island,2009,2,13,15,30,0,118289,POINT (930454.3 141495.1),N/B ARDEN AVE @ HAMPTON GREEN,HAMPTON GRN,HAMPTON GRN,NB\
16171,Bronx,2013,11,26,5,15,25,94218,POINT (1030397.8 243833),E TREMONT AV,PURITAN AV/WHITTEMORE AV,WATERBURY AV,NB\
26799,Brooklyn,2017,3,28,4,45,47,191114,POINT (988207.4245194928 151130.52481856258),CROPSEY AVENUE BRIDGE,Coney Island Creek Shoreline,Dead end,NB\
29745,Bronx,2019,1,23,10,0,60,179702,POINT (1030963.9564663804 255130.05771560056),NEW ENGLAND THRWY EXIT 11 NB,New England Thruway,Baychester Avenue,EB\
21945,Queens,2015,10,21,16,30,135,74309,POINT (1015035.5387296149 201790.3376853391),ELIOT AVENUE,69 Place,69 Lane,EB\
25940,Brooklyn,2016,9,12,22,0,0,21977,POINT (983726.0861629652 188503.95222447117),UNION STREET,Columbia Street,Hicks Street,EB\
27340,Brooklyn,2018,1,22,5,30,277,8100144,POINT (983706.8017588349 178522.68469044726),4 AVENUE LINE,31 Street,32 Street,NB\
15917,Queens,2013,11,11,18,45,69,133268,POINT (1022140.6 146784.3),ROCKAWAY BEACH BLVD,BEACH 148 ST,BEACH 149 ST,EB\
2023,Manhattan,2009,8,31,1,15,0,39034,POINT (999961.4 242121.8),N/B AMSTERDAM AVE @ W 155 ST,WEST 153 STREET,WEST 155 STREET,NB\
31368,Bronx,2019,11,17,1,30,38,71967,POINT (1007888.2234053437 242939.09262166495),EAST 167 STREET,Grant Avenue,Morris Avenue,WB\
16152,Manhattan,2013,11,20,23,45,35,23017,POINT (981107 195169.1),BROAD ST,WATER ST,SOUTH ST,SB\
21374,Manhattan,2015,10,11,10,15,102,33121,POINT (988874.8367388746 205351.16979621118),1 AVENUE,East 12 Street,East 13 Street,NB\
25942,Brooklyn,2016,9,17,21,15,85,158326,POINT (986177.905798797 181589.31126225778),4 AVENUE,17 Street,Prospect Expressway,NB\
10241,Queens,2012,4,25,15,0,72,96347,POINT (1043491.6 205394.5),75 AV,183 ST,184 ST,EB\
9895,Bronx,2011,4,2,11,45,84,77403,POINT (1012862.7 236789),LONGWOOD AVE APPROACH TO SOUTHERN BLVD,FOX ST,SOUTHERN BLVD,EB\
21099,Bronx,2015,9,17,22,45,28,144850,POINT (1006695.6834915999 243473.95235814422),EAST 167 STREET,Dead End,Dead end,WB\
22486,Manhattan,2016,2,22,11,15,33,36394,POINT (994904.2925776377 215963.0342910496),EAST 59 STREET,1 Avenue,Sutton Place,EB\
26966,Brooklyn,2017,10,22,3,45,57,31404,POINT (999628.6686844875 198530.2137941256),GRAND STREET,Manhattan Avenue,Graham Avenue,WB\
23419,Bronx,2016,5,7,17,15,34,87944,POINT (1023694.9942675687 253053.78902020663),WARING AVENUE,Lurting Avenue,Williamsbridge Road,WB\
26797,Manhattan,2017,10,23,19,30,151,34116,POINT (987934.9886122915 219200.61276151825),WEST 57 STREET,10 Avenue,9 Avenue,EB\
25256,Bronx,2017,2,17,3,45,11,86030,POINT (1021592.0292357713 247326.0718897492),MORRIS PARK AVENUE,Hunt Avenue,Holland Avenue,WB\
12215,Brooklyn,2010,10,4,16,45,153,27997,POINT (992392.7 174528.8),CONEY ISL AVE &CHURCH AVE BET TURNER PL &CHURCH AVE,ALBEMARLE RD,TURNER PL,NB\
18047,Queens,2014,10,2,18,0,192,119639,POINT (1058331.6647659806 219802.57856268305),LITTLE NECK PARKWAY,Dead End,Iowa Road,SB\
9611,Manhattan,2011,2,26,9,30,141,38223,POINT (994598.4 230586.7),COLUMBUS AVE BET W 107TH & W 106TH STS,W 106 ST,W 107 ST,SB\
23376,Brooklyn,2016,6,15,16,0,0,167499,POINT (1003804.8743631707 186608.06620487323),UTICA AVENUE,Herkimer Street,Fulton Street,NB\
8295,Queens,2012,4,12,18,30,233,149701,POINT (997416.7 208658.5),PULASKI BR,BOROUGH BOUNDARY,BODY OF WATER,NB\
2585,Brooklyn,2011,2,22,16,30,28,29346,POINT (994750.2 187982.6),W/B PUTNAM AVE @ FULTON ST,CAMBRIDGE PL/FULTON ST,GRAND AV,WB\
26516,Bronx,2017,9,23,18,0,43,9003982,POINT (1025043.0028534272 256703.838233711),BURKE AVENUE,Eastchester Grdns Houses Ped Pth,Dead end,EB\
17985,Manhattan,2014,10,28,16,45,113,35876,POINT (990777.1711153308 218410.65526184792),CENTER DRIVE,63 Street Line,Dead end,NB\
15809,Staten Island,2013,10,24,14,15,73,1477,POINT (923100.6 138635.2),BLOOMINGDALE RD,WIRT AV,PRINCE LA,NB\
21732,Brooklyn,2015,10,28,5,30,46,29135,POINT (992129.2742636353 185559.47261208558),FLATBUSH AVENUE,Brighton Line,8 Avenue,SB\
15809,Staten Island,2013,10,27,3,30,1,4365,POINT (937039.4 141936.8),PERKIOMEN AV,WAINWRIGHT AV,RICHMOND AV,EB\
1251,Queens,2011,6,24,3,30,6,130062,POINT (1011921.2 205634.9),65 PL,53 DR,53 AV,NB\
20915,Brooklyn,2015,7,8,4,45,5,27453,POINT (998481.7653206716 160349.4594660107),AVENUE R,Bedford Avenue,East 24 Street,WB\
12485,Brooklyn,2013,3,5,12,0,10,43468,POINT (1006080 181162.3),BLAKE AV,E 98 ST,UNION ST,WB\
17655,Manhattan,2014,10,12,22,30,17,38470,POINT (996015.4 232677.8),W 116 ST,MORNINGSIDE AV,MANHATTAN AV,EB\
32407,Bronx,2020,10,12,5,0,18,9009765,POINT (1012181.5607209066 241797.8985870685),EAST 169 STREET,Dead End,Union Avenue,WB\
16192,Queens,2013,11,15,11,15,98,151910,POINT (1026061.5 190090.7),WOODHAVEN BLVD,93 AV,ATLANTIC AV,SB\
17086,Queens,2014,5,27,17,15,76,53980,POINT (1038715.4 153710.3),ROCKAWAY BEACH BLVD,BEACH 77 ST,BEACH BREEZE LA,WB\
18476,Brooklyn,2014,11,13,16,15,93,41028,POINT (1003951.0583300772 167108.28062464687),FLATLANDS AVENUE,East 48 Street,East 49 Street,EB\
20915,Brooklyn,2015,7,9,10,30,21,266389,POINT (1018020.7736771294 175801.31015993337),VAN SICLEN AVENUE,Dead end,Schroeders Avenue,NB\
22594,Queens,2016,4,28,5,45,52,148405,POINT (1056765.6008757448 157283.5799176336),SEAGIRT BOULEVARD,Dead End,Dead end,WB\
20053,Queens,2015,4,23,10,30,66,151037,POINT (1026705.1334738315 202692.74628169579),QUEENS BOULEVARD,Dead end,Yellowstone Boulevard,WB\
7269,Manhattan,2010,5,22,21,0,270,158672,POINT (987486 207935.5),N/B PARK AVE SOUTH @ E 19 ST,E 18 ST,E 19 ST,NB\
12054,Bronx,2011,5,23,2,45,4,113525,POINT (1015343.6 241876.3),LONGFELLOW AVE&JENNINGS S NB AP BT FREEMAN&JENNINGS,JENNINGS ST,FREEMAN ST,NB\
21980,Bronx,2015,11,21,20,30,38,87487,POINT (1020735.0966880837 252125.3118270734),THWAITES PLACE,Olinville Avenue,Boston Road,EB\
15917,Queens,2013,11,4,8,30,456,56724,POINT (1035928.8 196050.1),HILLSIDE AV,139 ST,143 ST,WB\
