RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
18083,Bronx,2014,9,27,15,30,80,70374,POINT (1009003.4205528891 236563.86719988636),WESTCHESTER AVENUE,Eagle Avenue,Cauldwell Avenue,EB\
17657,Manhattan,2014,7,19,7,45,165,35875,POINT (990439.6 218452.3),CENTRAL PARK S,7 AV/C P 7 AV APPR,CENTER DR/AVE OF THE AMERICAS,WB\
12523,Brooklyn,2009,10,22,7,30,68,20219,POINT (987626.8 160489.3),AV P,BAY PKWY,STILLWELL AV,EB\
29418,Brooklyn,2018,11,7,2,30,14,164026,POINT (995851.7456883703 198179.3700679899),HAVEMEYER STREET,Brooklyn Queens Ep Et 32 A Wb,South 3 Street,NB\
27734,Brooklyn,2018,3,5,15,45,66,18820,POINT (986037.3506176942 159206.4010737967),84 STREET,Bay Parkway,21 Avenue,WB\
31494,Manhattan,2019,11,20,5,30,127,35778,POINT (990564.8416474435 212468.28628901864),LEXINGTON AVENUE,East 40 Street,East 39 Street,SB\
9162,Queens,2012,1,24,14,30,109,74183,POINT (1013968 204333.6),GRAND AVENUE,69 LANE,71 STREET,WB\
30153,Bronx,2019,4,5,15,15,120,81472,POINT (1012823.5909520256 271189.526291053),BROADWAY,West 262 Street,Dead end,NB\
7572,Brooklyn,2009,12,8,12,0,118,29497,POINT (996587.7 181055.1),EMPIRE BLVD @ BEDFORD AVE,BEDFORD AV,ROGERS AV,EB\
12240,Brooklyn,2010,7,17,6,0,115,29135,POINT (992112.5 185589.9),FLATBUSH AVE APPROACHING 8TH AVE,STERLING PL,8 AV,SB\
3422,Brooklyn,2009,6,9,10,15,49,17869,POINT (979679.6 172151.2),N/B 5TH AVE @ 60 ST,61 ST,60 ST,NB\
17977,Manhattan,2014,10,7,15,15,122,145851,POINT (993302.5564744915 213376.6802315094),1 AVENUE,East 47 Street,Dead end,NB\
26059,Brooklyn,2017,5,25,16,45,95,9002032,POINT (1006504.4298167434 183773.99874228184),HOWARD AVENUE,Dead End,Sterling Place,NB\
15609,Manhattan,2013,10,6,22,45,21,188852,POINT (994559.9 216510),QNSBORO BR EXIT,E 61 ST,E 60 ST,NB\
27005,Queens,2017,10,19,23,15,39,156470,POINT (1027862.810499797 202027.1200686394),QUEENS BOULEVARD,71 Road,Connector,WB\
28834,Brooklyn,2019,2,7,5,30,29,30649,POINT (995438.4278928029 192185.91351497697),MYRTLE AVENUE,Taaffe Place,Kent Avenue,WB\
18051,Queens,2014,10,16,12,30,44,177488,POINT (1022796.6956483169 215133.80787093224),108 STREET,Northern Boulevard,34 Avenue,NB\
20273,Manhattan,2015,4,22,19,30,202,159135,POINT (989134.3396396997 201938.56981057386),EAST HOUSTON STREET,Attorney Street,Ridge Street,EB\
21231,Staten Island,2015,11,1,13,45,89,2367,POINT (928568.848704675 142013.15254589976),ARTHUR KILL ROAD,Krissa Court,Mazza Court,EB\
15972,Manhattan,2013,10,26,20,45,171,36017,POINT (991193.3 218032.4),CENTRAL PARK S,CENTER DR/AVE OF THE AMERICAS,GRAND ARMY PLZ,EB\
25302,Manhattan,2017,3,1,18,0,460,34050,POINT (988329.3965240962 213699.20104337262),AVENUE OF THE AMERICAS,6 Avenue Line,6 Avenue Line,NB\
28843,Queens,2019,4,11,7,15,378,67745,POINT (1006176.0936858965 213697.244109918),NORTHERN BOULEVARD,42 Street,42 Place,WB\
3093,Manhattan,2009,10,7,9,30,73,122127,POINT (1002410.1 236684.4),S/B MADISON AVE (S OF W 142 ST @ 5 AVE),HRD SB EN E 142 ST,5 AV/PEDESTRIAN OPAS,SB\
